=========================================================
    MATCHING ENGINE PERCENTILE PERFORMANCE JOURNAL
=========================================================
Tested Co Rank : 170 | Events in Slice:    7138 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 171 | Events in Slice:    6417 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 172 | Events in Slice:    5428 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1136 cycles | Max:  758640 cycles
Tested Co Rank : 173 | Events in Slice:    6970 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 174 | Events in Slice:    6973 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 175 | Events in Slice:    6688 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 176 | Events in Slice:    6943 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 177 | Events in Slice:    6045 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 178 | Events in Slice:    5982 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 179 | Events in Slice:    5250 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 180 | Events in Slice:    5987 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 181 | Events in Slice:    6453 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 182 | Events in Slice:    6395 | P50 (Median):   71 cycles | P95:  155 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 183 | Events in Slice:    5622 | P50 (Median):   71 cycles | P95:  156 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 184 | Events in Slice:    6315 | P50 (Median):   71 cycles | P95:  156 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 185 | Events in Slice:    6086 | P50 (Median):   71 cycles | P95:  156 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 186 | Events in Slice:    6357 | P50 (Median):   71 cycles | P95:  156 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 187 | Events in Slice:    5910 | P50 (Median):   71 cycles | P95:  156 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 188 | Events in Slice:    6145 | P50 (Median):   71 cycles | P95:  156 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 189 | Events in Slice:    4890 | P50 (Median):   71 cycles | P95:  156 cycles | P99.9:  1135 cycles | Max:  758640 cycles
